Fraction,Z,Interpolation
0,0.000000,Linear
7.36666667,0.000000,Linear
16.433333,11.000000,Linear
47.1,196.400000,Linear
52.7333333,205.2,Linear
99.2333333,437.2,Linear
104.6333333,445.0,Linear
106.8,449.0,Linear
215.9333333,918.2,Linear
221.3,924.0,Linear
224.4666666,933.0,Linear
464.2,1830.0,Cubic
483.0666667,1888.0,Linear
537.652,1917.0,Linear
807.7666667,2851.0,Linear
1123.2,3737.0,Cubic
1173.1333333,3816.0,Linear
1268.6,3832.0,Linear
